label,var
-1.0,-0.8482461835488795
-1.0,-0.7822849660634312
1.0,-0.8322322670175256
1.0,-0.8151536998595803
1.0,-0.8203844901525369
-1.0,-0.7911956668374895
-1.0,-0.8222727174764054
-1.0,-0.8386879684486425
-1.0,-0.8113949987138627
-1.0,-0.8470073294242081
-1.0,-0.8634219153339973
1.0,-0.7601966076825915
-1.0,-0.821974965186512
1.0,-0.8600663176861867
-1.0,-0.8250883845317815
1.0,-0.8518690279308764
1.0,-0.8609179415860411
-1.0,-0.8908946514787494
1.0,-0.8265776233843083
1.0,-0.829432211208814
1.0,-0.8029924373809822
1.0,-0.7556610743694372
-1.0,-0.791159596628096
1.0,-0.7650564709440578
1.0,-0.8303198887331527
1.0,-0.73138301915891
1.0,-0.7567323096595207
-1.0,-0.8503238003925272
-1.0,-0.884465609721837
-1.0,-0.8595271209949343
1.0,-0.8412523202037011
-1.0,-0.8537475807241454
-1.0,-0.7526704250825318
-1.0,-0.8486279091740433
-1.0,-0.7627799381025349
1.0,-0.8887076170192988
-1.0,-0.7023643949571716
-1.0,-0.8150911846710448
1.0,-0.7365931558625728
-1.0,-0.7508610331040859
-1.0,-0.838664812204063
1.0,-0.8466514697452237
-1.0,-0.8311442570380099
1.0,-0.8103914326569608
-1.0,-0.8936572194848125
-1.0,-0.8636995827682546
-1.0,-0.8320707955803656
1.0,-0.8335353856221792
-1.0,-0.8992296556591158
1.0,-0.8534094618245099
-1.0,-0.8384992629995867
1.0,-0.8081943822752556
-1.0,-0.8821603083477644
-1.0,-0.8113949987138627
1.0,-0.7438282336165509
-1.0,-0.8609179415860411
1.0,-0.81778348832209
1.0,-0.8181287942430757
-1.0,-0.8027895887148171
-1.0,-0.8640146905223371
1.0,-0.8024368602516189
1.0,-0.7972646674734836
1.0,-0.8089088577574253
1.0,-0.843737216686077
1.0,-0.8489080436704013
1.0,-0.8470097357507036
1.0,-0.7568148434397838
1.0,-0.7557594081917056
1.0,-0.8420930933317876
1.0,-0.8255456295806705
1.0,-0.8373655682583808
1.0,-0.896239365939109
-1.0,-0.8291415546096728
1.0,-0.8244475127269528
-1.0,-0.8453599102924494
1.0,-0.8253901874018562
1.0,-0.8503238003925272
1.0,-0.8513145022393436
-1.0,-0.79716003244579
1.0,-0.8102634647819061
1.0,-0.80273814224951
-1.0,-0.831284800591161
-1.0,-0.8470073294242081
-1.0,-0.8260794055813099
-1.0,-0.8703224001855588
-1.0,-0.773195733357078
-1.0,-0.834203823742937
-1.0,-0.7046271016638523
1.0,-0.8513145022393436
1.0,-0.8470097357507036
1.0,-0.7315151839248555
-1.0,-0.8181287942430757
1.0,-0.8268757762868582
1.0,-0.8185280718522477
-1.0,-0.8549480296507579
-1.0,-0.8577261654343618
-1.0,-0.7854798330667105
1.0,-0.8007501581332754
-1.0,-0.8404528462268033
-1.0,-0.7942170007062495
1.0,-0.794482287846277
1.0,-0.8339945781483982
1.0,-0.6989157275676914
-1.0,-0.833101529839636
-1.0,-0.8260439575710818
-1.0,-0.8475127705233133
-1.0,-0.833101529839636
1.0,-0.8609179415860411
-1.0,-0.797431194203134
-1.0,-0.8443869079520336
-1.0,-0.8281492232008256
-1.0,-0.8258230929220906
1.0,-0.7969401946980506
-1.0,-0.8193219132454868
1.0,-0.842545541403833
-1.0,-0.8136300417156016
1.0,-0.8362237801570207
1.0,-0.8409368828718717
-1.0,-0.8766795359843238
1.0,-0.8134545992717634
1.0,-0.8093989697805197
1.0,-0.7976943137939261
1.0,-0.8560926456685302
1.0,-0.8241198689773885
-1.0,-0.7392524333545725
1.0,-0.8443869079520336
1.0,-0.7828533788526019
1.0,-0.7392524333545725
1.0,-0.8621566411454135
-1.0,-0.8024983401328524
1.0,-0.8344799494621733
1.0,-0.7792386182887565
1.0,-0.788845618847207
1.0,-0.8384909596396409
-1.0,-0.8323836870149761
1.0,-0.7272998211555619
-1.0,-0.8416877793456327
1.0,-0.7627799381025349
1.0,-0.8271957410718176
1.0,-0.805285118168961
-1.0,-0.8642081355447595
1.0,-0.8414491698278626
-1.0,-0.866481223874738
1.0,-0.785972315595925
-1.0,-0.810848400533388
1.0,-0.8511877449869594
-1.0,-0.8260439575710818
-1.0,-0.7781640955515237
-1.0,-0.8443869079520336
1.0,-0.8587758295125503
1.0,-0.8442280945684901
1.0,-0.813042956741588
-1.0,-0.8377374322236683
1.0,-0.8355327494514194
-1.0,-0.8336675744703221
-1.0,-0.8609697547368836
1.0,-0.7763685456869881
-1.0,-0.8411049204943597
1.0,-0.8702093756169738
1.0,-0.8229272648644768
1.0,-0.7891792395255621
1.0,-0.8258071061294594
1.0,-0.7403222067492454
1.0,-0.8525774742304304
-1.0,-0.8761376326206789
-1.0,-0.861692056100209
1.0,-0.8250883845317815
1.0,-0.8232172432241186
1.0,-0.8337111167494666
1.0,-0.877764232011127
1.0,-0.7635605006629487
-1.0,-0.8399935426044091
1.0,-0.8207416985103115
-1.0,-0.8396952202934447
1.0,-0.7779983244576175
1.0,-0.7947120433699567
-1.0,-0.8877827933111575
1.0,-0.7777276304856005
-1.0,-0.7762559494483058
-1.0,-0.7972646674734836
1.0,-0.8346271749163687
1.0,-0.821969435520169
-1.0,-0.8422097222025985
1.0,-0.79557719048393
-1.0,-0.7638953360534041
1.0,-0.8426767264484293
-1.0,-0.8470097357507036
1.0,-0.8554673429286552
1.0,-0.8388196496773834
1.0,-0.7948978825073987
-1.0,-0.8477208568402441
1.0,-0.6187957213331671
1.0,-0.8061466446229895
-1.0,-0.8734750105809734
1.0,-0.856664211483779
1.0,-0.7469500255391512
1.0,-0.8033318186270016
-1.0,-0.8311486983101941
1.0,-0.864507723155585
1.0,-0.7601966076825915
1.0,-0.8080998347348376
1.0,-0.8720445062391651
-1.0,-0.8512965313159749
1.0,-0.838664812204063
-1.0,-0.7987559882244113
1.0,-0.8065448826082393
1.0,-0.8138257163102774
-1.0,-0.8480841681418307
1.0,-0.8145413374386226
1.0,-0.8470097357507036
-1.0,-0.8426767264484293
-1.0,-0.8560926456685302
1.0,-0.8355114986539196
-1.0,-0.8662217566748367
-1.0,-0.8086981847247082
-1.0,-0.8470097357507036
-1.0,-0.833101529839636
-1.0,-0.8358287304881136
1.0,-0.8215332721632861
1.0,-0.8059506475692038
-1.0,-0.8447980538436832
1.0,-0.8470097357507036
1.0,-0.8443869079520336
-1.0,-0.7789566345371131
1.0,-0.8071665612045809
1.0,-0.7805341886390974
-1.0,-0.8567971468043144
-1.0,-0.838188654527007
-1.0,-0.8537740541778351
-1.0,-0.8473286369052735
1.0,-0.7477491749364941
-1.0,-0.7822160774986083
1.0,-0.8271842495469897
-1.0,-0.8315943305902357
1.0,-0.782538810373137
1.0,-0.7096460357157467
1.0,-0.775597130347925
1.0,-0.861692056100209
1.0,-0.7882013864398744
-1.0,-0.801098464408295
-1.0,-0.8534094618245099
-1.0,-0.8181826931545584
-1.0,-0.853245054934081
-1.0,-0.8503238003925272
1.0,-0.7787146165553647
1.0,-0.8303198887331527
1.0,-0.8207416985103115
1.0,-0.7945988998292576
-1.0,-0.8562402207689703
1.0,-0.8107063708511685
-1.0,-0.8181826931545584
-1.0,-0.8275382475509391
-1.0,-0.8033318186270016
1.0,-0.8236999086985332
-1.0,-0.8181826931545584
-1.0,-0.7744063776864738
-1.0,-0.8311442570380099
-1.0,-0.8336675744703221
-1.0,-0.7819494354699159
1.0,-0.7788677567638725
1.0,-0.8552248383047649
1.0,-0.8185280718522477
-1.0,-0.7612122836012476
-1.0,-0.8111920094924819
-1.0,-0.8658754322586492
1.0,-0.6738145277005687
1.0,-0.8426981919409917
1.0,-0.8609179415860411
-1.0,-0.8443869079520336
1.0,-0.833101529839636
-1.0,-0.7882033313423782
1.0,-0.8503238003925272
-1.0,-0.8000342271927606
1.0,-0.8116197610438003
-1.0,-0.8342551497972566
1.0,-0.8470097357507036
-1.0,-0.7819497047664388
1.0,-0.8676069861824238
-1.0,-0.8207416985103115
1.0,-0.7730451243541339
-1.0,-0.8990083038378713
-1.0,-0.8078304107579528
-1.0,-0.838188654527007
1.0,-0.7948713584659481
-1.0,-0.7010713021196961
-1.0,-0.8420930933317876
-1.0,-0.785177882901434
-1.0,-0.8465481790039697
-1.0,-0.7702001959141914
-1.0,-0.8423547443629131
1.0,-0.8166413833656534
-1.0,-0.8609179415860411
1.0,-0.8588375506701399
1.0,-0.8448275665767198
-1.0,-0.8181826931545584
1.0,-0.8614270879357032
-1.0,-0.82999063321815
1.0,-0.8443869079520336
-1.0,-0.7122739915836109
-1.0,-0.7587867793462105
-1.0,-0.8431368060022562
-1.0,-0.8460224247984636
1.0,-0.7513541507065966
-1.0,-0.8443869079520336
1.0,-0.8517936624666087
-1.0,-0.8534094618245099
1.0,-0.8013602342600743
1.0,-0.8408283109349981
-1.0,-0.8134708426382472
1.0,-0.7941585535158371
-1.0,-0.8680545794954977
1.0,-0.7522493455873341
-1.0,-0.8829006335698546
-1.0,-0.8238944395402881
1.0,-0.8507262779804897
-1.0,-0.8486279091740433
1.0,-0.8535523532404571
1.0,-0.8379930623267678
-1.0,-0.8609179415860411
-1.0,-0.8110100492549014
1.0,-0.7774687064982861
1.0,-0.6198767119579529
-1.0,-0.8503238003925272
1.0,-0.797431194203134
-1.0,-0.842545541403833
-1.0,-0.7113650901459867
1.0,-0.8335766947697517
1.0,-0.8379930623267678
-1.0,-0.8431682602299384
-1.0,-0.807670537227608
1.0,-0.7588882127290497
-1.0,-0.8051121526321469
-1.0,-0.8365256435355101
-1.0,-0.8537475807241454
1.0,-0.7462497072841743
-1.0,-0.864507723155585
-1.0,-0.8480430941364696
1.0,-0.8053787152198797
-1.0,-0.8275382475509391
-1.0,-0.8496205219205122
1.0,-0.8050805857179556
1.0,-0.8102009495933706
-1.0,-0.8518690279308764
1.0,-0.8534094618245099
-1.0,-0.8225034770308224
-1.0,-0.843475836011697
1.0,-0.745501365416603
1.0,-0.8501642946079405
-1.0,-0.8489966222336974
1.0,-0.8621761581761537
1.0,-0.7764218952517392
1.0,-0.7846320154414742
1.0,-0.8383885662252996
1.0,-0.7874352703959442
1.0,-0.8453599102924494
-1.0,-0.8822047837741969
-1.0,-0.8537475807241454
-1.0,-0.853245054934081
1.0,-0.8460224247984636
1.0,-0.8560926456685302
1.0,-0.7940900829816122
1.0,-0.8636995827682546
1.0,-0.7635605006629487
1.0,-0.8103108424917884
1.0,-0.7975565815722774
-1.0,-0.8279205152527371
1.0,-0.8127022767229675
-1.0,-0.8355327494514194
1.0,-0.8002982430502427
-1.0,-0.8181826931545584
-1.0,-0.8339052220633356
1.0,-0.8453958624384912
1.0,-0.8250883845317815
-1.0,-0.8018150308764873
-1.0,-0.8456328098302527
1.0,-0.7851303651664474
-1.0,-0.8514906619994544
-1.0,-0.7796531915011993
1.0,-0.8241198689773885
-1.0,-0.8079581425063037
1.0,-0.7975389059208837
-1.0,-0.815466121009768
1.0,-0.803151107255833
1.0,-0.8604505190066916
1.0,-0.8821603083477644
1.0,-0.8113949987138627
-1.0,-0.8758319657695881
1.0,-0.8426767264484293
-1.0,-0.748128770498862
-1.0,-0.8486279091740433
1.0,-0.8085093799176551
1.0,-0.8241198689773885
